species	mito	coverage
NC_040970.1	99	0
NC_040970.1	100	0
NC_040970.1	101	0
NC_040970.1	102	0
NC_040970.1	103	0
NC_040970.1	104	0
NC_040970.1	105	0
NC_040970.1	106	0
NC_040970.1	107	0
NC_040970.1	108	0
NC_040970.1	109	0
NC_040970.1	110	0
NC_040970.1	111	0
NC_040970.1	112	0
NC_040970.1	113	0
NC_040970.1	114	0
NC_040970.1	115	0
NC_040970.1	116	0
NC_040970.1	117	0
NC_040970.1	118	0
NC_040970.1	119	0
NC_040970.1	120	0
NC_040970.1	121	0
NC_040970.1	122	0
NC_040970.1	123	0
NC_040970.1	124	0
NC_040970.1	125	0
NC_040970.1	126	0
NC_040970.1	127	0
NC_040970.1	128	0
NC_040970.1	129	0
NC_040970.1	130	0
NC_040970.1	131	0
NC_040970.1	132	0
NC_040970.1	133	0
NC_040970.1	134	0
NC_040970.1	135	0
NC_040970.1	136	0
NC_040970.1	137	0
NC_040970.1	138	0
NC_040970.1	139	0
NC_040970.1	140	0
NC_040970.1	141	0
NC_040970.1	142	0
NC_040970.1	143	0
NC_040970.1	144	0
NC_040970.1	145	0
NC_040970.1	146	0
NC_040970.1	147	0
NC_040970.1	148	0
NC_040970.1	149	0
NC_040970.1	150	0
NC_040970.1	151	0
NC_040970.1	152	0
NC_040970.1	153	0
NC_040970.1	154	0
NC_040970.1	155	0
NC_040970.1	156	0
NC_040970.1	157	0
NC_040970.1	158	0
NC_040970.1	159	0
NC_040970.1	160	0
NC_040970.1	161	0
NC_040970.1	162	0
NC_040970.1	163	0
NC_040970.1	164	0
NC_040970.1	165	0
NC_040970.1	166	0
NC_040970.1	167	0
NC_040970.1	168	0
NC_040970.1	169	0
NC_040970.1	170	0
NC_040970.1	171	0
NC_040970.1	172	0
NC_040970.1	173	0
NC_040970.1	174	0
NC_040970.1	175	0
NC_040970.1	176	0
NC_040970.1	177	0
NC_040970.1	178	0
NC_040970.1	179	0
NC_040970.1	180	0
NC_040970.1	181	0
NC_040970.1	182	0
NC_040970.1	183	0
NC_040970.1	184	0
NC_040970.1	185	0
NC_040970.1	186	0
NC_040970.1	187	0
NC_040970.1	188	0
NC_040970.1	189	0
NC_040970.1	190	0
NC_040970.1	191	0
NC_040970.1	192	0
NC_040970.1	193	0
NC_040970.1	194	0
NC_040970.1	195	0
NC_040970.1	196	0
NC_040970.1	197	0
NC_040970.1	198	0
NC_040970.1	199	0
NC_040970.1	200	0
NC_040970.1	201	0
NC_040970.1	202	0
NC_040970.1	203	0
NC_040970.1	204	0
NC_040970.1	205	0
NC_040970.1	206	0
NC_040970.1	207	0
NC_040970.1	208	0
NC_040970.1	209	0
NC_040970.1	210	0
NC_040970.1	211	0
NC_040970.1	212	0
NC_040970.1	213	0
NC_040970.1	214	0
NC_040970.1	215	0
NC_040970.1	216	0
NC_040970.1	217	0
NC_040970.1	218	0
NC_040970.1	219	0
NC_040970.1	220	0
NC_040970.1	221	0
NC_040970.1	222	0
NC_040970.1	223	0
NC_040970.1	224	0
NC_040970.1	225	0
NC_040970.1	226	0
NC_040970.1	227	0
NC_040970.1	228	0
NC_040970.1	229	0
NC_040970.1	230	0
NC_040970.1	231	0
NC_040970.1	232	0
NC_040970.1	233	0
NC_040970.1	234	0
NC_040970.1	235	0
NC_040970.1	236	0
NC_040970.1	237	0
NC_040970.1	238	0
NC_040970.1	239	0
NC_040970.1	240	0
NC_040970.1	241	0
NC_040970.1	242	0
NC_040970.1	243	0
NC_040970.1	244	0
NC_040970.1	245	0
NC_040970.1	246	0
NC_040970.1	247	0
NC_040970.1	248	0
NC_040970.1	249	0
NC_040970.1	250	0
NC_040970.1	251	0
NC_040970.1	252	0
NC_040970.1	253	0
NC_040970.1	254	0
NC_040970.1	255	0
NC_040970.1	256	0
NC_040970.1	257	0
NC_040970.1	258	0
NC_040970.1	259	0
NC_040970.1	260	0
NC_040970.1	261	0
NC_040970.1	262	0
NC_040970.1	263	0
NC_040970.1	264	0
NC_040970.1	265	0
NC_040970.1	266	0
NC_040970.1	267	0
NC_040970.1	268	0
NC_040970.1	269	0
NC_040970.1	270	0
NC_040970.1	271	0
NC_040970.1	272	0
NC_040970.1	273	0
NC_040970.1	274	0
NC_040970.1	275	0
NC_040970.1	276	0
NC_040970.1	277	0
NC_040970.1	278	0
NC_040970.1	279	0
NC_040970.1	280	0
NC_040970.1	281	0
NC_040970.1	282	0
NC_040970.1	283	0
NC_040970.1	284	0
NC_040970.1	285	0
NC_040970.1	286	0
NC_040970.1	287	0
NC_040970.1	288	0
NC_040970.1	289	0
NC_040970.1	290	0
NC_040970.1	291	0
NC_040970.1	292	0
NC_040970.1	293	0
NC_040970.1	294	0
NC_040970.1	295	0
NC_040970.1	296	0
NC_040970.1	297	0
NC_040970.1	298	0
NC_040970.1	299	0
NC_040970.1	300	0
NC_040970.1	301	0
NC_040970.1	302	0
NC_040970.1	303	0
NC_040970.1	304	0
NC_040970.1	305	0
NC_040970.1	306	0
NC_040970.1	307	0
NC_040970.1	308	0
NC_040970.1	309	0
NC_040970.1	310	0
NC_040970.1	311	0
NC_040970.1	312	0
NC_040970.1	313	1
NC_040970.1	314	1
NC_040970.1	315	1
NC_040970.1	316	1
NC_040970.1	317	1
NC_040970.1	318	1
NC_040970.1	319	1
NC_040970.1	320	1
NC_040970.1	321	1
NC_040970.1	322	1
NC_040970.1	323	1
NC_040970.1	324	1
NC_040970.1	325	1
NC_040970.1	326	1
NC_040970.1	327	1
NC_040970.1	328	1
NC_040970.1	329	1
NC_040970.1	330	1
NC_040970.1	331	1
NC_040970.1	332	1
NC_040970.1	333	1
NC_040970.1	334	1
NC_040970.1	335	1
NC_040970.1	336	1
NC_040970.1	337	1
NC_040970.1	338	1
NC_040970.1	339	1
NC_040970.1	340	1
NC_040970.1	341	1
NC_040970.1	342	1
NC_040970.1	343	1
NC_040970.1	344	1
NC_040970.1	345	1
NC_040970.1	346	1
NC_040970.1	347	1
NC_040970.1	348	1
NC_040970.1	349	1
NC_040970.1	350	1
NC_040970.1	351	1
NC_040970.1	352	1
NC_040970.1	353	1
NC_040970.1	354	1
NC_040970.1	355	1
NC_040970.1	356	1
NC_040970.1	357	1
NC_040970.1	358	1
NC_040970.1	359	1
NC_040970.1	360	1
NC_040970.1	361	1
NC_040970.1	362	1
NC_040970.1	363	1
NC_040970.1	364	1
NC_040970.1	365	1
NC_040970.1	366	1
NC_040970.1	367	1
NC_040970.1	368	1
NC_040970.1	369	1
NC_040970.1	370	1
NC_040970.1	371	1
NC_040970.1	372	1
NC_040970.1	373	1
NC_040970.1	374	1
NC_040970.1	375	1
NC_040970.1	376	1
NC_040970.1	377	1
NC_040970.1	378	1
NC_040970.1	379	1
NC_040970.1	380	1
NC_040970.1	381	1
NC_040970.1	382	1
NC_040970.1	383	1
NC_040970.1	384	1
NC_040970.1	385	1
NC_040970.1	386	1
NC_040970.1	387	1
NC_040970.1	388	1
NC_040970.1	389	1
NC_040970.1	390	1
NC_040970.1	391	1
NC_040970.1	392	1
NC_040970.1	393	1
NC_040970.1	394	1
NC_040970.1	395	1
NC_040970.1	396	1
NC_040970.1	397	1
NC_040970.1	398	1
NC_040970.1	399	1
NC_040970.1	400	1
NC_040970.1	401	1
NC_040970.1	402	1
NC_040970.1	403	1
NC_040970.1	404	1
NC_040970.1	405	1
NC_040970.1	406	1
NC_040970.1	407	1
NC_040970.1	408	1
NC_040970.1	409	1
NC_040970.1	410	1
NC_040970.1	411	1
NC_040970.1	412	1
NC_040970.1	413	1
NC_040970.1	414	1
NC_040970.1	415	1
NC_040970.1	416	1
NC_040970.1	417	1
NC_040970.1	418	1
NC_040970.1	419	1
NC_040970.1	420	1
NC_040970.1	421	1
NC_040970.1	422	1
NC_040970.1	423	1
NC_040970.1	424	1
NC_040970.1	425	1
NC_040970.1	426	1
NC_040970.1	427	1
NC_040970.1	428	1
NC_040970.1	429	1
NC_040970.1	430	1
NC_040970.1	431	1
NC_040970.1	432	1
NC_040970.1	433	1
NC_040970.1	434	1
NC_040970.1	435	1
NC_040970.1	436	1
NC_040970.1	437	1
NC_040970.1	438	1
NC_040970.1	439	1
NC_040970.1	440	1
NC_040970.1	441	1
NC_040970.1	442	1
NC_040970.1	443	1
NC_040970.1	444	1
NC_040970.1	445	1
NC_040970.1	446	0
NC_040970.1	447	0
NC_040970.1	448	0
NC_040970.1	449	0
NC_040970.1	450	0
NC_040970.1	451	0
NC_040970.1	452	0
NC_040970.1	453	0
NC_040970.1	454	0
NC_040970.1	455	0
NC_040970.1	456	0
NC_040970.1	457	0
NC_040970.1	458	0
NC_040970.1	459	0
NC_040970.1	460	0
NC_040970.1	461	0
NC_040970.1	462	0
NC_040970.1	463	0
NC_040970.1	464	0
NC_040970.1	465	0
NC_040970.1	466	0
NC_040970.1	467	0
NC_040970.1	468	0
NC_040970.1	469	0
NC_040970.1	470	0
NC_040970.1	471	0
NC_040970.1	472	0
NC_040970.1	473	0
NC_040970.1	474	0
NC_040970.1	475	0
NC_040970.1	476	0
NC_040970.1	477	0
NC_040970.1	478	0
NC_040970.1	479	0
NC_040970.1	480	0
NC_040970.1	481	0
NC_040970.1	482	0
NC_040970.1	483	0
NC_040970.1	484	0
NC_040970.1	485	0
NC_040970.1	486	0
NC_040970.1	487	0
NC_040970.1	488	0
NC_040970.1	489	0
NC_040970.1	490	0
NC_040970.1	491	0
NC_040970.1	492	0
NC_040970.1	493	0
NC_040970.1	494	0
NC_040970.1	495	0
NC_040970.1	496	0
NC_040970.1	497	0
NC_040970.1	498	0
NC_040970.1	499	0
NC_040970.1	500	0
NC_040970.1	501	0
NC_040970.1	502	0
NC_040970.1	503	0
NC_040970.1	504	0
NC_040970.1	505	0
NC_040970.1	506	0
NC_040970.1	507	0
NC_040970.1	508	0
NC_040970.1	509	0
NC_040970.1	510	0
NC_040970.1	511	0
NC_040970.1	512	0
NC_040970.1	513	0
NC_040970.1	514	0
NC_040970.1	515	0
NC_040970.1	516	0
NC_040970.1	517	0
NC_040970.1	518	0
NC_040970.1	519	0
NC_040970.1	520	0
NC_040970.1	521	0
NC_040970.1	522	0
NC_040970.1	523	0
NC_040970.1	524	0
NC_040970.1	525	0
NC_040970.1	526	0
NC_040970.1	527	0
NC_040970.1	528	0
NC_040970.1	529	0
NC_040970.1	530	0
NC_040970.1	531	0
NC_040970.1	532	0
NC_040970.1	533	0
NC_040970.1	534	0
NC_040970.1	535	0
NC_040970.1	536	0
NC_040970.1	537	0
NC_040970.1	538	0
NC_040970.1	539	0
NC_040970.1	540	0
NC_040970.1	541	0
NC_040970.1	542	0
NC_040970.1	543	0
NC_040970.1	544	0
NC_040970.1	545	0
NC_040970.1	546	0
NC_040970.1	547	0
NC_040970.1	548	0
NC_040970.1	549	0
NC_040970.1	550	0
NC_040970.1	551	0
NC_040970.1	552	0
NC_040970.1	553	0
NC_040970.1	554	0
NC_040970.1	555	0
NC_040970.1	556	0
NC_040970.1	557	0
NC_040970.1	558	0
NC_040970.1	559	0
NC_040970.1	560	0
NC_040970.1	561	0
NC_040970.1	562	0
NC_040970.1	563	0
NC_040970.1	564	0
NC_040970.1	565	0
NC_040970.1	566	0
NC_040970.1	567	0
NC_040970.1	568	0
NC_040970.1	569	0
NC_040970.1	570	0
NC_040970.1	571	0
NC_040970.1	572	0
NC_040970.1	573	0
NC_040970.1	574	0
NC_040970.1	575	0
NC_040970.1	576	0
NC_040970.1	577	0
NC_040970.1	578	0
NC_040970.1	579	0
NC_040970.1	580	0
NC_040970.1	581	0
NC_040970.1	582	0
NC_040970.1	583	0
NC_040970.1	584	0
NC_040970.1	585	0
NC_040970.1	586	0
NC_040970.1	587	0
NC_040970.1	588	0
NC_040970.1	589	0
NC_040970.1	590	0
NC_040970.1	591	0
NC_040970.1	592	0
NC_040970.1	593	0
NC_040970.1	594	0
NC_040970.1	595	0
NC_040970.1	596	0
NC_040970.1	597	0
NC_040970.1	598	0
NC_040970.1	599	0
NC_040970.1	600	0
NC_040970.1	601	0
NC_040970.1	602	0
NC_040970.1	603	0
NC_040970.1	604	0
NC_040970.1	605	0
NC_040970.1	606	0
NC_040970.1	607	0
NC_040970.1	608	0
NC_040970.1	609	0
NC_040970.1	610	0
NC_040970.1	611	1
NC_040970.1	612	1
NC_040970.1	613	1
NC_040970.1	614	1
NC_040970.1	615	1
NC_040970.1	616	1
NC_040970.1	617	1
NC_040970.1	618	1
NC_040970.1	619	1
NC_040970.1	620	1
NC_040970.1	621	1
NC_040970.1	622	1
NC_040970.1	623	1
NC_040970.1	624	1
NC_040970.1	625	1
NC_040970.1	626	1
NC_040970.1	627	1
NC_040970.1	628	1
NC_040970.1	629	1
NC_040970.1	630	1
NC_040970.1	631	1
NC_040970.1	632	1
NC_040970.1	633	1
NC_040970.1	634	1
NC_040970.1	635	1
NC_040970.1	636	1
NC_040970.1	637	1
NC_040970.1	638	1
NC_040970.1	639	1
NC_040970.1	640	1
NC_040970.1	641	1
NC_040970.1	642	1
NC_040970.1	643	1
NC_040970.1	644	1
NC_040970.1	645	1
NC_040970.1	646	1
NC_040970.1	647	1
NC_040970.1	648	1
NC_040970.1	649	1
NC_040970.1	650	1
NC_040970.1	651	1
NC_040970.1	652	1
NC_040970.1	653	1
NC_040970.1	654	1
NC_040970.1	655	1
NC_040970.1	656	1
NC_040970.1	657	1
NC_040970.1	658	1
NC_040970.1	659	1
NC_040970.1	660	1
NC_040970.1	661	1
NC_040970.1	662	1
NC_040970.1	663	1
NC_040970.1	664	1
NC_040970.1	665	1
NC_040970.1	666	1
NC_040970.1	667	1
NC_040970.1	668	1
NC_040970.1	669	1
NC_040970.1	670	1
NC_040970.1	671	1
NC_040970.1	672	1
NC_040970.1	673	1
NC_040970.1	674	1
NC_040970.1	675	1
NC_040970.1	676	1
NC_040970.1	677	1
NC_040970.1	678	1
NC_040970.1	679	1
NC_040970.1	680	1
NC_040970.1	681	1
NC_040970.1	682	1
NC_040970.1	683	1
NC_040970.1	684	1
NC_040970.1	685	1
NC_040970.1	686	1
NC_040970.1	687	1
NC_040970.1	688	1
NC_040970.1	689	1
NC_040970.1	690	1
NC_040970.1	691	1
NC_040970.1	692	1
NC_040970.1	693	1
NC_040970.1	694	1
NC_040970.1	695	1
NC_040970.1	696	1
NC_040970.1	697	1
NC_040970.1	698	1
NC_040970.1	699	1
NC_040970.1	700	1
NC_040970.1	701	1
NC_040970.1	702	1
NC_040970.1	703	1
NC_040970.1	704	1
NC_040970.1	705	1
NC_040970.1	706	1
NC_040970.1	707	1
NC_040970.1	708	1
NC_040970.1	709	1
NC_040970.1	710	1
NC_040970.1	711	1
NC_040970.1	712	1
NC_040970.1	713	1
NC_040970.1	714	1
NC_040970.1	715	1
NC_040970.1	716	1
NC_040970.1	717	1
NC_040970.1	718	1
NC_040970.1	719	1
NC_040970.1	720	1
NC_040970.1	721	1
NC_040970.1	722	1
NC_040970.1	723	1
NC_040970.1	724	1
NC_040970.1	725	1
NC_040970.1	726	1
NC_040970.1	727	1
NC_040970.1	728	1
NC_040970.1	729	1
NC_040970.1	730	1
NC_040970.1	731	1
NC_040970.1	732	1
NC_040970.1	733	1
NC_040970.1	734	1
NC_040970.1	735	1
NC_040970.1	736	1
NC_040970.1	737	1
NC_040970.1	738	2
NC_040970.1	739	2
NC_040970.1	740	2
NC_040970.1	741	2
NC_040970.1	742	2
NC_040970.1	743	2
NC_040970.1	744	2
NC_040970.1	745	2
NC_040970.1	746	2
NC_040970.1	747	2
NC_040970.1	748	2
NC_040970.1	749	2
NC_040970.1	750	2
NC_040970.1	751	2
NC_040970.1	752	2
NC_040970.1	753	2
NC_040970.1	754	2
NC_040970.1	755	2
NC_040970.1	756	2
NC_040970.1	757	2
NC_040970.1	758	2
NC_040970.1	759	2
NC_040970.1	760	2
NC_040970.1	761	2
NC_040970.1	762	2
NC_040970.1	763	2
NC_040970.1	764	2
NC_040970.1	765	2
NC_040970.1	766	2
NC_040970.1	767	2
NC_040970.1	768	2
NC_040970.1	769	2
NC_040970.1	770	2
NC_040970.1	771	2
NC_040970.1	772	2
NC_040970.1	773	2
NC_040970.1	774	2
NC_040970.1	775	2
NC_040970.1	776	2
NC_040970.1	777	2
NC_040970.1	778	2
NC_040970.1	779	2
NC_040970.1	780	2
NC_040970.1	781	2
NC_040970.1	782	1
NC_040970.1	783	1
NC_040970.1	784	1
NC_040970.1	785	1
NC_040970.1	786	1
NC_040970.1	787	1
NC_040970.1	788	1
NC_040970.1	789	1
NC_040970.1	790	1
NC_040970.1	791	1
NC_040970.1	792	1
NC_040970.1	793	1
NC_040970.1	794	1
NC_040970.1	795	1
NC_040970.1	796	1
NC_040970.1	797	1
NC_040970.1	798	1
NC_040970.1	799	1
NC_040970.1	800	1
NC_040970.1	801	1
NC_040970.1	802	1
NC_040970.1	803	1
NC_040970.1	804	1
NC_040970.1	805	1
NC_040970.1	806	1
NC_040970.1	807	1
NC_040970.1	808	1
NC_040970.1	809	1
NC_040970.1	810	1
NC_040970.1	811	1
NC_040970.1	812	1
NC_040970.1	813	1
NC_040970.1	814	1
NC_040970.1	815	1
NC_040970.1	816	1
NC_040970.1	817	1
NC_040970.1	818	1
NC_040970.1	819	1
NC_040970.1	820	1
NC_040970.1	821	1
NC_040970.1	822	1
NC_040970.1	823	1
NC_040970.1	824	1
NC_040970.1	825	1
NC_040970.1	826	1
NC_040970.1	827	1
NC_040970.1	828	1
NC_040970.1	829	1
NC_040970.1	830	1
NC_040970.1	831	1
NC_040970.1	832	1
NC_040970.1	833	1
NC_040970.1	834	1
NC_040970.1	835	1
NC_040970.1	836	1
NC_040970.1	837	1
NC_040970.1	838	1
NC_040970.1	839	1
NC_040970.1	840	1
NC_040970.1	841	1
NC_040970.1	842	1
NC_040970.1	843	1
NC_040970.1	844	1
NC_040970.1	845	1
NC_040970.1	846	1
NC_040970.1	847	1
NC_040970.1	848	1
NC_040970.1	849	1
NC_040970.1	850	1
NC_040970.1	851	1
NC_040970.1	852	1
NC_040970.1	853	1
NC_040970.1	854	1
NC_040970.1	855	1
NC_040970.1	856	1
NC_040970.1	857	1
NC_040970.1	858	1
NC_040970.1	859	1
NC_040970.1	860	1
NC_040970.1	861	1
NC_040970.1	862	1
NC_040970.1	863	1
NC_040970.1	864	1
NC_040970.1	865	1
NC_040970.1	866	1
NC_040970.1	867	1
NC_040970.1	868	1
NC_040970.1	869	1
NC_040970.1	870	1
NC_040970.1	871	1
NC_040970.1	872	1
NC_040970.1	873	1
NC_040970.1	874	1
NC_040970.1	875	1
NC_040970.1	876	1
NC_040970.1	877	1
NC_040970.1	878	1
NC_040970.1	879	1
NC_040970.1	880	1
NC_040970.1	881	1
NC_040970.1	882	1
NC_040970.1	883	1
NC_040970.1	884	1
NC_040970.1	885	1
NC_040970.1	886	1
NC_040970.1	887	1
NC_040970.1	888	1
NC_040970.1	889	1
NC_040970.1	890	1
NC_040970.1	891	1
NC_040970.1	892	1
NC_040970.1	893	1
NC_040970.1	894	1
NC_040970.1	895	1
NC_040970.1	896	1
NC_040970.1	897	1
NC_040970.1	898	1
NC_040970.1	899	1
NC_040970.1	900	1
NC_040970.1	901	1
NC_040970.1	902	1
NC_040970.1	903	1
NC_040970.1	904	1
NC_040970.1	905	1
NC_040970.1	906	1
NC_040970.1	907	1
NC_040970.1	908	1
NC_040970.1	909	1
NC_040970.1	910	1
NC_040970.1	911	1
NC_040970.1	912	1
NC_040970.1	913	1
NC_040970.1	914	1
NC_040970.1	915	1
NC_040970.1	916	1
NC_040970.1	917	1
NC_040970.1	918	1
NC_040970.1	919	1
NC_040970.1	920	1
NC_040970.1	921	1
NC_040970.1	922	1
NC_040970.1	923	1
NC_040970.1	924	1
NC_040970.1	925	1
NC_040970.1	926	1
NC_040970.1	927	1
NC_040970.1	928	1
NC_040970.1	929	1
NC_040970.1	930	1
NC_040970.1	931	1
NC_040970.1	932	1
NC_040970.1	933	1
NC_040970.1	934	0
NC_040970.1	935	0
NC_040970.1	936	0
NC_040970.1	937	0
NC_040970.1	938	0
NC_040970.1	939	0
NC_040970.1	940	0
NC_040970.1	941	0
NC_040970.1	942	0
NC_040970.1	943	0
NC_040970.1	944	0
NC_040970.1	945	0
NC_040970.1	946	0
NC_040970.1	947	0
NC_040970.1	948	0
NC_040970.1	949	0
NC_040970.1	950	0
NC_040970.1	951	0
NC_040970.1	952	0
NC_040970.1	953	0
NC_040970.1	954	0
NC_040970.1	955	0
NC_040970.1	956	0
NC_040970.1	957	0
NC_040970.1	958	0
NC_040970.1	959	0
NC_040970.1	960	0
NC_040970.1	961	0
NC_040970.1	962	0
NC_040970.1	963	0
NC_040970.1	964	0
NC_040970.1	965	0
NC_040970.1	966	0
NC_040970.1	967	0
NC_040970.1	968	0
NC_040970.1	969	0
NC_040970.1	970	0
NC_040970.1	971	0
NC_040970.1	972	0
NC_040970.1	973	0
NC_040970.1	974	0
NC_040970.1	975	0
NC_040970.1	976	0
NC_040970.1	977	0
NC_040970.1	978	0
NC_040970.1	979	0
NC_040970.1	980	0
NC_040970.1	981	0
NC_040970.1	982	0
NC_040970.1	983	0
NC_040970.1	984	0
NC_040970.1	985	0
NC_040970.1	986	0
NC_040970.1	987	0
NC_040970.1	988	0
NC_040970.1	989	0
NC_040970.1	990	0
NC_040970.1	991	0
NC_040970.1	992	0
NC_040970.1	993	0
NC_040970.1	994	0
NC_040970.1	995	0
NC_040970.1	996	0
NC_040970.1	997	0
NC_040970.1	998	0
NC_040970.1	999	0
NC_040970.1	1000	0
NC_040970.1	1001	0
NC_040970.1	1002	0
NC_040970.1	1003	0
NC_040970.1	1004	0
NC_040970.1	1005	0
NC_040970.1	1006	0
NC_040970.1	1007	0
NC_040970.1	1008	0
NC_040970.1	1009	0
NC_040970.1	1010	0
NC_040970.1	1011	0
NC_040970.1	1012	0
NC_040970.1	1013	0
NC_040970.1	1014	0
NC_040970.1	1015	0
NC_040970.1	1016	0
NC_040970.1	1017	0
NC_040970.1	1018	0
NC_040970.1	1019	0
NC_040970.1	1020	0
NC_040970.1	1021	0
NC_040970.1	1022	0
NC_040970.1	1023	0
NC_040970.1	1024	0
NC_040970.1	1025	0
NC_040970.1	1026	0
NC_040970.1	1027	0
NC_040970.1	1028	0
NC_040970.1	1029	0
NC_040970.1	1030	0
NC_040970.1	1031	0
NC_040970.1	1032	0
NC_040970.1	1033	0
NC_040970.1	1034	0
NC_040970.1	1035	0
NC_040970.1	1036	0
NC_040970.1	1037	0
NC_040970.1	1038	0
NC_040970.1	1039	0
NC_040970.1	1040	0
NC_040970.1	1041	0
NC_040970.1	1042	0
NC_040970.1	1043	0
NC_040970.1	1044	0
NC_040970.1	1045	0
NC_040970.1	1046	0
NC_040970.1	1047	0
NC_040970.1	1048	0
NC_040970.1	1049	0
NC_040970.1	1050	0
NC_040970.1	1051	0
NC_040970.1	1052	0
NC_040970.1	1053	0
NC_040970.1	1054	0
NC_040970.1	1055	0
NC_040970.1	1056	0
NC_040970.1	1057	0
NC_040970.1	1058	0
NC_040970.1	1059	0
NC_040970.1	1060	0
NC_040970.1	1061	0
NC_040970.1	1062	0
NC_040970.1	1063	0
NC_040970.1	1064	0
NC_040970.1	1065	0
NC_040970.1	1066	0
NC_040970.1	1067	0
NC_040970.1	1068	0
NC_040970.1	1069	0
NC_040970.1	1070	0
NC_040970.1	1071	0
NC_040970.1	1072	0
NC_040970.1	1073	0
NC_040970.1	1074	0
NC_040970.1	1075	0
NC_040970.1	1076	0
NC_040970.1	1077	0
NC_040970.1	1078	0
NC_040970.1	1079	0
NC_040970.1	1080	0
NC_040970.1	1081	0
NC_040970.1	1082	0
NC_040970.1	1083	0
NC_040970.1	1084	0
NC_040970.1	1085	0
NC_040970.1	1086	0
NC_040970.1	1087	0
NC_040970.1	1088	0
NC_040970.1	1089	0
NC_040970.1	1090	0
NC_040970.1	1091	0
NC_040970.1	1092	0
NC_040970.1	1093	0
NC_040970.1	1094	0
NC_040970.1	1095	0
NC_040970.1	1096	0
NC_040970.1	1097	0
NC_040970.1	1098	0
NC_040970.1	1099	0
NC_040970.1	1100	0
NC_040970.1	1101	0
NC_040970.1	1102	0
NC_040970.1	1103	0
NC_040970.1	1104	0
NC_040970.1	1105	0
NC_040970.1	1106	0
NC_040970.1	1107	0
NC_040970.1	1108	0
NC_040970.1	1109	0
NC_040970.1	1110	0
NC_040970.1	1111	0
NC_040970.1	1112	0
NC_040970.1	1113	0
NC_040970.1	1114	0
NC_040970.1	1115	0
NC_040970.1	1116	0
NC_040970.1	1117	0
NC_040970.1	1118	0
NC_040970.1	1119	0
NC_040970.1	1120	0
NC_040970.1	1121	0
NC_040970.1	1122	0
NC_040970.1	1123	0
NC_040970.1	1124	0
NC_040970.1	1125	0
NC_040970.1	1126	0
NC_040970.1	1127	0
NC_040970.1	1128	0
NC_040970.1	1129	0
NC_040970.1	1130	0
NC_040970.1	1131	0
NC_040970.1	1132	0
NC_040970.1	1133	0
NC_040970.1	1134	0
NC_040970.1	1135	0
NC_040970.1	1136	0
NC_040970.1	1137	0
NC_040970.1	1138	0
NC_040970.1	1139	0
NC_040970.1	1140	0
NC_040970.1	1141	0
NC_040970.1	1142	0
NC_040970.1	1143	0
NC_040970.1	1144	0
NC_040970.1	1145	0
NC_040970.1	1146	0
NC_040970.1	1147	0
NC_040970.1	1148	0
NC_040970.1	1149	0
NC_040970.1	1150	0
NC_040970.1	1151	0
NC_040970.1	1152	0
